gene	annotation	no_sequences	aln_len	pos_count	pos_per_codon	mean_n_dev_pos	stdev_n_dev_pos	max_n_dev
LKENIL_02860	Murein DD-endopeptidase MepM and murein hydrolaseactivator NlpD, contains LysM domain	125	338	3	0.009	5.883	9.613	16.983
LJCBIJ_02705	diaminopimelate decarboxylase	125	407	5	0.012	5.261	7.324	16.983
GHKIBE_10865	putative peptidoglycan D,D-transpeptidase PenA	117	585	46	0.079	5.605	4.531	16.872
CEMIJF_07265	sugar transporter	125	112	3	0.027	12.839	3.887	16.65
MCMGGC_07325	Sugar transporter	125	247	4	0.016	8.602	8.23	16.65
ODGFBF_04770	A nuclease of the HNH/ENDO VII superfamily withconserved WHH	97	82	4	0.049	9.712	4.806	16.65
GILMCH_07550	AAA family ATPase	125	289	4	0.014	4.412	8.162	16.65
CLFGNL_02910	Alanine--tRNA ligase	125	887	7	0.008	3.964	6.597	16.65
FOGPJI_07840	sulfate adenylate transferase	125	361	6	0.017	6.974	7.31	16.65
BFPELO_09460	DNA recombination RmuC-like protein	125	597	6	0.01	2.941	6.717	16.65
AOEIMC_09345	heme ABC exporter ATP-binding protein CcmA	125	637	5	0.008	4.551	7.054	16.65
HEEDGJ_03275	phosphomethylpyrimidine synthase ThiC	125	634	12	0.019	2.904	4.615	16.65
JMBIMI_01635	amidophosphoribosyltransferase	125	517	3	0.006	9.139	7.783	16.65
AOEIMC_05305	bifunctionaldiaminohydroxyphosphoribosylaminopyrimidinedeaminase/5-amino-6-(5-phosphoribosylamino)uracil reductaseRibD	125	411	43	0.105	1.229	2.582	16.648
DCGKFM_05765	superoxide dismutase [Fe]	124	194	7	0.036	3.488	6.279	16.644
IEGIFK_05160	preprotein translocase subunit SecG	124	117	4	0.034	8.242	6.661	16.428
LBAEBK_04650	LPS export ABC transporter periplasmic proteinLptC	125	194	5	0.026	3.441	7.199	16.317
GHKIBE_07820	23S rRNA (guanosine(2251)-2'-O)-methyltransferaseRlmB	125	251	9	0.036	3.231	5.201	16.317
DFBINA_06870	Autotransporter domain-containing protein	125	506	7	0.014	4.218	6.0	16.317
MCBNGC_05545	exodeoxyribonuclease V subunit beta	125	1201	10	0.008	3.952	5.529	16.317
GONEAM_07185	30S ribosome-binding factor RbfA	125	124	2	0.016	8.27	11.381	16.317
IECMBI_06625	tRNA guanosine(34) transglycosylase Tgt	125	372	3	0.008	7.733	7.825	16.317
FOGPJI_09320	phage tail protein	122	1382	20	0.014	4.423	4.471	15.984
AMHIEJ_00120	type III restriction endonuclease subunit R	109	925	10	0.011	5.972	4.885	15.984
KIIHOL_06280	ATP-dependent Clp protease ATP-binding subunitClpA	122	879	7	0.008	5.344	5.406	15.984
ELOKED_11315	Putative integral membrane protein	125	496	11	0.022	2.694	4.802	15.984
GILMCH_03235	Glycine--tRNA ligase beta subunit	125	688	13	0.019	7.266	5.058	15.984
NKPBLJ_10215	Kae1-associated kinase	125	265	5	0.019	3.508	6.975	15.984
FPFEIB_08305	aminotransferase	125	402	1	0.002	15.984		15.984
AMHIEJ_03415	NlpC/P60 family	105	252	3	0.012	6.401	8.322	15.984
BCKFAO_02880	creA protein	125	193	16	0.083	2.255	5.361	15.984
ODGFBF_05095	Inner membrane protein yedI	102	288	19	0.066	1.332	3.573	15.984
AFIEGL_03870	type I restriction-modification system subunit M	125	515	3	0.006	7.104	7.868	15.984
LGFMJF_00990	DNA repair protein RadA	125	460	3	0.007	5.772	8.85	15.984
NKPBLJ_10860	aspartate ammonia-lyase	125	466	2	0.004	8.047	11.224	15.984
AAPKIE_00965	bifunctional biotin--[acetyl-CoA-carboxylase]ligase/type III pantothenate kinase	125	593	7	0.012	3.695	5.672	15.651
LGFMJF_01835	DUF459 domain-containing protein	123	328	4	0.012	6.993	7.55	15.651
HPHECO_10220	ATP-dependent Clp protease ATP-binding subunitClpX	125	415	5	0.012	7.171	6.395	15.651
HEEDGJ_01415	N-acetylmuramoyl-L-alanine amidase AmiC	125	417	6	0.014	3.533	6.078	15.651
HMKGBL_03000	pyridoxine 5'-phosphate synthase	122	243	9	0.037	7.733	4.937	15.54
LIFIJF_06250	sigma-54-dependent Fis family transcriptionalregulator	123	575	5	0.009	5.239	6.318	15.54
FDOLEH_06590	YifB family Mg chelatase-like AAA ATPase	125	499	2	0.004	10.323	7.064	15.318
NEILBB_02440	lipooligosaccharide phosphoethanolaminetransferase	121	538	41	0.076	5.476	3.07	15.318
GBEPFH_10480	bifunctional UDP-N-acetylglucosaminediphosphorylase/glucosamine-1-phosphate N-acetyltransferaseGlmU	125	457	16	0.035	1.769	3.803	15.318
LGFMJF_04795	hypothetical protein	123	65	1	0.015	15.318		15.318
LKENIL_04205	Lipopolysaccharide-assembly	125	160	2	0.013	8.325	9.89	15.318
GBEPFH_09270	preprotein translocase subunit SecY	125	437	3	0.007	5.624	8.414	15.318
DNHNFJ_09515	Dextranase	122	516	45	0.087	2.068	3.208	15.318
LKENIL_02370	4-hydroxy-tetrahydrodipicolinate synthase	125	292	11	0.038	5.732	4.915	14.985
LGFMJF_03625	Porin	116	317	5	0.016	3.219	6.579	14.985
GONEAM_08000	sulfite reductase subunit alpha	122	408	7	0.017	6.834	4.71	14.985
AENKPA_10435	Surface lipoprotein assembly modifier 1	124	478	21	0.044	1.829	4.02	14.985
NKPBLJ_07215	FMN-binding protein	125	383	15	0.039	2.005	3.964	14.985
HPHECO_02135	threonine--tRNA ligase	125	638	4	0.006	7.187	7.893	14.984
HEPKNL_00770	bifunctional riboflavin kinase/FAD synthetase	124	378	24	0.063	2.072	4.093	14.983
DCGKFM_05955	Putative thiosulphate sulphur transferase	125	244	14	0.057	8.244	4.861	14.652
DCGKFM_10480	Lactate dehydrogenase or related 2-hydroxyaciddehydrogenase	99	109	4	0.037	9.324	6.218	14.652
FPKBML_01380	Bacteriophage HK97-gp10, putative tail-component	123	161	9	0.056	5.131	5.243	14.652
IECMBI_03440	Periplasmic protein	125	171	5	0.029	4.018	6.19	14.652
PNIJEF_05325	haemoglobin-haptoglobin-utilization protein HupB	124	810	4	0.005	4.69	6.701	14.652
HEEDGJ_02760	Aida-related Type V secretory pathway adhesin	125	161	2	0.012	10.156	6.358	14.652
GILMCH_04925	tryptophan synthase subunit alpha	125	262	4	0.015	4.69	6.819	14.652
DBIOJN_08800	glutathione synthase	125	319	3	0.009	7.622	6.138	14.652
LKENIL_03370	peptidase	125	390	1	0.003	14.652		14.652
DDFKJF_06100	Phosphoribosylformylglycinamidine cyclo-ligase	125	345	4	0.012	4.218	6.962	14.652
DBIOJN_06925	type I glyceraldehyde-3-phosphate dehydrogenase	125	344	4	0.012	4.856	6.693	14.652
KMNMBO_10435	NTP pyrophosphohydrolase	125	270	4	0.015	4.69	6.662	14.319
LKENIL_02040	DNA mismatch repair protein MutS	125	202	2	0.01	9.99	6.122	14.319
IECMBI_02305	YceI domain-containing protein	125	187	2	0.011	7.326	9.89	14.319
MPNNBP_07430	hypothetical protein	125	76	2	0.026	9.602	6.672	14.319
BOOKHB_06755	Sulfatase	94	484	29	0.06	1.692	3.768	14.319
GHKIBE_04480	sodium transporter	125	296	25	0.084	2.681	2.972	14.319
NNPMCJ_10820	alpha/beta hydrolase	125	320	5	0.016	4.174	5.863	14.319
DPOILH_00390	phosphatase	125	279	14	0.05	1.253	3.73	14.208
NKPBLJ_05215	murein biosynthesis integral membrane proteinMurJ	125	513	3	0.006	6.401	6.989	13.986
BCKFAO_06415	Factor H binding protein	125	280	2	0.007	7.492	9.183	13.986
LKENIL_02530	lipopolysaccharide heptosyltransferase II	125	338	13	0.038	2.433	4.045	13.986
ODGFBF_01150	murein transglycosylase	125	495	45	0.091	2.221	3.108	13.986
GEEBOD_05830	replicative DNA helicase	123	471	25	0.053	3.53	4.243	13.764
LOGDOA_05005	Putative transmembrane transport protein	125	111	3	0.027	4.81	7.754	13.764
OEJBCO_05650	DUF4043 domain-containing protein	125	432	5	0.012	6.105	6.147	13.764
FLPKAP_09480	DUF2628 domain-containing protein	125	124	4	0.032	3.635	6.753	13.764
GILMCH_03565	50S ribosomal protein L11 methyltransferase	125	296	4	0.014	5.911	6.039	13.653
AMHIEJ_06560	carbamoyl-phosphate synthase large subunit	125	1074	12	0.011	2.497	3.668	13.653
OIJOPB_09775	presqualene diphosphate synthase HpnD	125	291	2	0.007	6.993	9.419	13.653
JMBIMI_05130	LutB/LldF family L-lactate oxidation iron-sulfurprotein	125	485	1	0.002	13.32		13.32
GONEAM_05370	YicC-like family, N-terminal region	125	295	1	0.003	13.32		13.32
AAJHJC_08405	methionine--tRNA ligase	124	685	19	0.028	4.253	3.912	13.32
GBEPFH_01415	TonB-dependent receptor	123	418	6	0.014	2.572	5.278	13.32
DCGKFM_02635	Phage protein	120	229	27	0.118	1.188	2.453	13.32
LMPAAK_07295	3-oxoacyl-ACP synthase	125	271	5	0.018	3.508	5.526	13.32
FPFEIB_09325	glycosyltransferase family 1 protein	99	381	10	0.026	4.229	4.18	13.32
AFIEGL_11120	phosphoglucosamine mutase	125	445	3	0.007	5.883	6.696	13.32
KMNMBO_08255	nicotinate phosphoribosyltransferase	125	403	4	0.01	7.409	5.348	13.32
IPDDEA_02815	Putative nuclease YbcO	114	102	7	0.069	3.155	5.053	13.32
BGAEOD_02430	phage head morphogenesis protein	123	737	44	0.06	3.138	3.112	13.32
NKPBLJ_04720	amino acid ABC transporter permease	125	220	2	0.009	6.716	9.34	13.32
JJNNBF_03050	exopolyphosphatase	125	533	7	0.013	7.58	4.093	13.32
PDCJLA_09275	bifunctional 3,4-dihydroxy-2-butanone-4-phosphatesynthase/GTP cyclohydrolase II	125	496	24	0.048	3.278	3.526	13.309
AAPKIE_04855	phosphoribosylaminoimidazolesuccinocarboxamidesynthase	125	288	6	0.021	5.032	6.009	13.098
GBEPFH_10315	50S ribosomal protein L13	125	144	1	0.007	12.987		12.987
PNIJEF_03120	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	123	493	31	0.063	3.18	3.848	12.987
NNPMCJ_00785	Aldose 1-epimerase	117	109	2	0.018	7.159	8.241	12.987
OIJOPB_06105	dUTP diphosphatase	125	151	6	0.04	5.604	3.813	12.987
LJCBIJ_08015	dihydrolipoyl dehydrogenase	125	478	2	0.004	12.487	0.706	12.987
ALJDAG_00380	Hemoglobin receptor	125	285	3	0.011	8.325	4.051	12.987
LKENIL_05215	rRNA maturation RNase YbeY	125	172	3	0.017	4.958	6.991	12.987
LOGDOA_11085	YchJ family protein	112	162	3	0.019	6.364	6.446	12.987
GILMCH_06260	hypothetical protein	123	110	1	0.009	12.876		12.876
CMOMEB_05895	EamA-like transporter family	122	137	2	0.015	6.937	8.398	12.876
IPDDEA_04795	Membrane protein	119	169	2	0.012	6.716	8.398	12.654
NNPMCJ_00110	CidA/LrgA family protein	125	115	2	0.017	6.493	8.712	12.654
DBIOJN_02680	aromatic amino acid aminotransferase	125	398	3	0.008	8.436	7.019	12.654
KIIHOL_01310	Rrf2 family transcriptional regulator	125	148	1	0.007	12.654		12.654
DPNOOC_10470	primosomal protein N'	121	730	6	0.008	5.957	5.069	12.654
GBEPFH_04415	hemagglutinin	121	1189	34	0.029	5.805	3.579	12.654
DPOILH_10605	bifunctional [glutamate--ammonialigase]-adenylyl-L-tyrosinephosphorylase/[glutamate--ammonia-ligase]adenylyltransferase	123	897	22	0.025	4.147	2.786	12.654
KIIHOL_11140	ATP-dependent DNA helicase DinG	124	757	47	0.062	2.664	3.713	12.432
BFPELO_04810	Tetratricopeptide repeat family protein	125	238	4	0.017	7.076	6.184	12.432
CLFGNL_02435	4-hydroxy-3-polyprenylbenzoate decarboxylase	123	493	6	0.012	3.422	4.652	12.432
IPDDEA_10515	oligopeptidase A	125	681	11	0.016	3.946	4.261	12.432
CJNHGO_05775	sulfate ABC transporter permease subunit CysW	125	287	7	0.024	7.564	5.296	12.321
HLLAKN_02520	MFS transporter	123	437	3	0.007	5.587	6.13	12.321
CJNHGO_05270	Folate-binding protein YgfZ, synthesis and repairof Fe-S clusters	125	289	3	0.01	5.92	5.912	12.321
GILMCH_05585	Phosphoglucomutase	121	470	41	0.087	1.721	2.576	12.321
IJDKON_07035	UDP-N-acetylmuramoyl-L-alanine--D-glutamateligase	125	446	2	0.004	9.157	4.474	12.321
AOEIMC_04230	Mechanosensitive ion channel	125	312	9	0.029	3.317	5.034	12.321
AAJHJC_08575	amino acid ABC transporter substrate-bindingprotein	125	285	2	0.007	6.327	8.477	12.321
